"og.loc","new.loc"
"Denmark","Denmark"
"India","India"
"Italy","Europe"
"France","France"
"USA","USA"
"United Kingdom","United Kingdom"
"Turkey","Europe"
"Mexico","North America"
"Ireland","Europe"
"Netherlands","Europe"
"Spain","Spain"
"Mozambique","Africa"
"Brazil","Brazil"
"Dominican Republic","North America"
"Poland","Europe"
"Bosnia and Herzegovina","Europe"
"Switzerland","Switzerland"
"Argentina","South America"
"Cayman Islands","North America"
"South Africa","South Africa"
"Hong Kong","Asia"
"Belgium","Europe"
"Romania","Europe"
"Indonesia","Asia"
"Germany","Germany"
"Ghana","Africa"
"Norway","Europe"
"Cabo Verde","Africa"
"Guinea","Africa"
"Slovenia","Europe"
"Antigua and Barbuda","North America"
"Australia","Oceania"
"Sweden","Sweden"
"Gambia","Africa"
"Ecuador","South America"
"Russia","Europe"
"Bangladesh","Asia"
"Uruguay","South America"
"Liberia","Africa"
"Republic of the Congo","Africa"
"Czech Republic","Europe"
"Slovakia","Europe"
"Democratic Republic of the Congo","Africa"
"Cameroon","Africa"
"Bulgaria","Europe"
"South Korea","Asia"
"Morocco","Africa"
"Malta","Europe"
"The Bahamas","North America"
"Guadeloupe","North America"
"Sri Lanka","Asia"
"Malaysia","Asia"
"Portugal","Europe"
"Finland","Europe"
"Bahrain","Asia"
"China","Asia"
"Singapore","Asia"
"Qatar","Asia"
"Israel","Asia"
"Senegal","Africa"
"Austria","Europe"
"Peru","South America"
"Belize","North America"
"Japan","Japan"
"Costa Rica","North America"
"Kenya","Africa"
"Liechtenstein","Europe"
"Ethiopia","Africa"
"Cambodia","Asia"
"Angola","Africa"
"Thailand","Asia"
"Burkina Faso","Africa"
"Croatia","Europe"
"Chile","South America"
"Luxembourg","Europe"
"Lithuania","Europe"
"French Guiana","South America"
"Lebanon","Asia"
"Gabon","Africa"
"Puerto Rico","North America"
"Guatemala","North America"
"Mali","Africa"
"Canary Islands","Europe"
"Philippines","Asia"
"Malawi","Africa"
"Jordan","Asia"
"Papua New Guinea","Oceania"
"Reunion","Africa"
"Botswana","Africa"
"Colombia","South America"
"Cyprus","Europe"
"Jamaica","North America"
"Comoros","Africa"
"Uzbekistan","Asia"
"Nigeria","Africa"
"Saudi Arabia","Asia"
"Kuwait","Asia"
"Iran","Asia"
"Ukraine","Europe"
"Maldives","Asia"
"El Salvador","North America"
"Venezuela","South America"
"Moldova","Europe"
"Gibraltar","Europe"
"Togo","Africa"
"Djibouti","Africa"
"Iceland","Europe"
"U.S. Virgin Islands","North America"
"Kazakhstan","Asia"
"Honduras","North America"
"Madagascar","Africa"
"Latvia","Europe"
"Armenia","Asia"
"Cote dIvoire","Africa"
"Serbia","Europe"
"New Zealand","Oceania"
"Curacao","South America"
"Sint Maarten","North America"
"Uganda","Africa"
"Iraq","Asia"
"Anguilla","North America"
"Benin","Africa"
"Egypt","Africa"
"Estonia","Europe"
"Sudan","Africa"
"Lesotho","Africa"
"Fiji","Oceania"
"Nepal","Asia"
"Myanmar","Asia"
"Kosovo","Europe"
"Brunei","Asia"
"Suriname","South America"
"Algeria","Africa"
"Pakistan","Asia"
"Seychelles","Africa"
"Greece","Europe"
"Zambia","Africa"
"Paraguay","South America"
"Oman","Asia"
"Trinidad and Tobago","South America"
"Zimbabwe","Africa"
"Bolivia","South America"
"Equatorial Guinea","Africa"
"South Sudan","Africa"
"Saint Lucia","North America"
"Bermuda","North America"
"Rwanda","Africa"
"United Arab Emirates","Asia"
"Northern Mariana Islands","Oceania"
"Guam","Oceania"
"Libya","Africa"
"Tunisia","Africa"
"Niger","Africa"
"Montserrat","North America"
"Eswatini","Africa"
"Mauritius","Africa"
"Saint Kitts and Nevis","North America"
"Saint Vincent and the Grenadines","North America"
"British Virgin Islands","North America"
"Nicaragua","North America"
"Hungary","Europe"
"Panama","North America"
"Georgia","Asia"
"Taiwan","Asia"
"Azerbaijan","Europe"
"Turks and Caicos Islands","North America"
"Belarus","Europe"
"Mayotte","Africa"
"Aruba","South America"
"North Macedonia","Europe"
"Afghanistan","Asia"
"Kyrgyzstan","Asia"
"Vietnam","Asia"
"Sierra Leone","Africa"
"Cuba","North America"
"Montenegro","Europe"
"Faroe Islands","Europe"
"Palestine","Asia"
"Saint Barthelemy","North America"
"Saint Martin","North America"
"Albania","Europe"
"Central African Republic","Africa"
"Martinique","North America"
"Barbados","North America"
"Mauritania","Africa"
"Mongolia","Asia"
"Somalia","Africa"
"Guinea-Bissau","Africa"
"Haiti","North America"
"Bonaire","South America"
"Namibia","Africa"
"Timor-Leste","Asia"
"Solomon Islands","Oceania"
"Guyana","South America"
"Chad","Africa"
"French Polynesia","Oceania"
"Sint Eustatius","North America"
"Vanuatu","Oceania"
"Monaco","Europe"
"Grenada","North America"
"Burundi","Africa"
"Andorra","Europe"
"Crimea","Europe"
"American Samoa","Oceania"
"Syria","Asia"
"Palau","Oceania"
"Sao Tome and Principe","Africa"
"Tanzania","Africa"
"Wallis and Futuna Islands","Oceania"
"Dominica","North America"
"Quebec","Quebec"
"Alberta","Alberta"
"Ontario","Ontario"
"British Columbia","British Columbia"
"Saskatchewan","Saskatchewan"
"Newfoundland and Labrador","Newfoundland and Labrador"
"Nova Scotia","Nova Scotia"
"New Brunswick","New Brunswick"
"Manitoba","Manitoba"
