"","var.WHO","pearson","spearman","adj.r2","y.int","slope"
"1","Other",0.81,0.78,0.65,0.06,0.58
"2","Alpha",0.86,0.86,0.73,-1.21,0.88
"3","Zeta",0.79,0.71,0.62,-0.61,0.51
"4","Gamma",0.86,0.83,0.74,-0.5,0.66
"5","Epsilon",0.82,0.72,0.68,-0.79,0.64
"6","Eta",0.79,0.78,0.62,-0.48,0.6
"7","Beta",0.81,0.79,0.65,-0.51,0.64
"8","Delta",0.85,0.83,0.72,-1.06,0.89
"9","Kappa",0.81,0.77,0.65,-0.6,0.59
"10","Iota",0.86,0.85,0.73,-0.62,0.63
"11","Mu",0.85,0.85,0.72,-0.55,0.64
"12","BA.1",0.84,0.82,0.7,-0.72,0.74
"13","BA.1.1",0.89,0.84,0.79,-0.85,0.76
"14","BA.2",0.85,0.86,0.71,-1.24,0.8
