"trees","ntip.start","modelfit.start","R2.start","BOOT","cutoff","Ntip.residual.out","modelfit.excl.resid.out","R2.excl.resid.out","max.muts","Ntip.pendant.out","modelfit.end","R2.end"
"202208_analysis/ft_betagammaiota_root/iota_1_mask_root.tre",25302,"y = 6.05e-04 x + -1.22",0.0828,"iota_1",0.001,0,"y = 6.05e-04 x + -1.22",0.0828,30,0,"y = 6.05e-04 x + -1.22",0.0828
"202208_analysis/ft_betagammaiota_root/iota_2_mask_root.tre",25302,"y = 7.69e-04 x + -1.55",0.0504,"iota_2",0.001,10,"y = 7.73e-04 x + -1.56",0.0509,30,0,"y = 7.73e-04 x + -1.56",0.0509
"202208_analysis/ft_betagammaiota_root/iota_3_mask_root.tre",25302,"y = 6.31e-04 x + -1.28",0.0571,"iota_3",0.001,1,"y = 6.38e-04 x + -1.29",0.0579,30,0,"y = 6.38e-04 x + -1.29",0.0579
"202208_analysis/ft_betagammaiota_root/iota_4_mask_root.tre",25302,"y = 6.36e-04 x + -1.29",0.114,"iota_4",0.001,1,"y = 6.43e-04 x + -1.3",0.115,30,0,"y = 6.43e-04 x + -1.3",0.115
"202208_analysis/ft_betagammaiota_root/iota_5_mask_root.tre",25302,"y = 5.90e-04 x + -1.19",0.0765,"iota_5",0.001,1,"y = 5.95e-04 x + -1.2",0.0774,30,0,"y = 5.95e-04 x + -1.2",0.0774
"202208_analysis/ft_betagammaiota_root/iota_6_mask_root.tre",25302,"y = 6.53e-04 x + -1.32",0.0836,"iota_6",0.001,1,"y = 6.59e-04 x + -1.33",0.0846,30,0,"y = 6.59e-04 x + -1.33",0.0846
"202208_analysis/ft_betagammaiota_root/iota_7_mask_root.tre",25302,"y = 6.22e-04 x + -1.26",0.0543,"iota_7",0.001,3,"y = 6.27e-04 x + -1.27",0.0548,30,0,"y = 6.27e-04 x + -1.27",0.0548
"202208_analysis/ft_betagammaiota_root/iota_8_mask_root.tre",25302,"y = 7.29e-04 x + -1.47",0.0536,"iota_8",0.001,148,"y = 7.19e-04 x + -1.45",0.0555,30,0,"y = 7.19e-04 x + -1.45",0.0555
"202208_analysis/ft_betagammaiota_root/iota_9_mask_root.tre",25302,"y = 6.60e-04 x + -1.33",0.0628,"iota_9",0.001,2,"y = 6.66e-04 x + -1.34",0.0636,30,0,"y = 6.66e-04 x + -1.34",0.0636
"202208_analysis/ft_betagammaiota_root/iota_10_mask_root.tre",25302,"y = 6.71e-04 x + -1.35",0.0499,"iota_10",0.001,2,"y = 6.76e-04 x + -1.36",0.0503,30,0,"y = 6.76e-04 x + -1.36",0.0503
