"","year","Country.of.residence","total.trav.yr","mean.trav.yr","median.trav.yr","max.trav.yr","min.trav.yr"
"1","2018","Canadian-resident visitors returning to Canada, air",11618357,31831.1150684931,31038,52315,17665
"2","2018","Non-resident visitors entering Canada, air",6878630,18845.5616438356,16670,37075,7664
"3","2019","Canadian-resident visitors returning to Canada, air",12953113,35487.9808219178,35041,57188,16886
"4","2019","Non-resident visitors entering Canada, air",7801458,21373.8575342466,18277,41800,9482
"5","2020","Canadian-resident visitors returning to Canada, air",4382861,11975.0300546448,2153,65057,287
"6","2020","Non-resident visitors entering Canada, air",1183736,3234.25136612022,721.5,20564,92
"7","2021","Canadian-resident visitors returning to Canada, air",3296649,9031.91506849315,5856,31491,257
"8","2021","Non-resident visitors entering Canada, air",1434149,3929.17534246575,1364,20599,150
"9","2022","Canadian-resident visitors returning to Canada, air",12830673,35152.5287671233,35322,59747,12116
"10","2022","Non-resident visitors entering Canada, air",6451759,17676.0520547945,16212,40659,2892
"11","2023","Canadian-resident visitors returning to Canada, air",3302818,55979.9661016949,55230,76151,39370
"12","2023","Non-resident visitors entering Canada, air",801343,13582.0847457627,13525,21681,8044
